2,SPADE,2
3,SPADE,3
4,SPADE,4
5,SPADE,5
6,SPADE,6
7,SPADE,7
8,SPADE,8
9,SPADE,9
10,SPADE,10
10,SPADE,J
10,SPADE,Q
10,SPADE,K
11,SPADE,A
2,CLUB,2
3,CLUB,3
4,CLUB,4
5,CLUB,5
6,CLUB,6
7,CLUB,7
8,CLUB,8
9,CLUB,9
10,CLUB,10
10,CLUB,J
10,CLUB,Q
10,CLUB,K
11,CLUB,A
2,HEART,2
3,HEART,3
4,HEART,4
5,HEART,5
6,HEART,6
7,HEART,7
8,HEART,8
9,HEART,9
10,HEART,10
10,HEART,J
10,HEART,Q
10,HEART,K
11,HEART,A
2,DIAMOND,2
3,DIAMOND,3
4,DIAMOND,4
5,DIAMOND,5
6,DIAMOND,6
7,DIAMOND,7
8,DIAMOND,8
9,DIAMOND,9
10,DIAMOND,10
10,DIAMOND,J
10,DIAMOND,Q
10,DIAMOND,K
11,DIAMOND,A
